SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
臺南(北門),臺南市,20,,良好,0,0.18,0.2,16,22,,2,2.5,10,8,2.9,246,2020-05-26 15:00,5,15,1,120.124444,23.264722,310
屏東(琉球),屏東縣,24,,良好,1.8,0.11,0.2,22,26,8,4,1,1.5,0.4,1.6,312,2020-05-26 15:00,6,11,2,120.377222,22.352222,204
新北(樹林),新北市,41,,良好,1.4,0.19,0.3,27,37,19,8,9.9,11,1,1.1,49,2020-05-26 15:00,13,29,2,121.383528,24.949028,203
彰化(大城),彰化縣,16,,良好,1.4,0.24,0.3,3.3,17,11,ND,1.1,1.8,0.7,6.7,213,2020-05-26 15:00,4,14,2,120.273117,23.843139,202
臺南(麻豆),臺南市,23,,良好,3.5,0.5,0.6,20,25,7,ND,1.5,3.4,1.9,1.9,212,2020-05-26 15:00,7,13,3,120.245831,23.179047,201
富貴角,新北市,39,,良好,0.4,0.14,0.2,41,42,26,11,3.3,3.8,0.5,5.6,246,2020-05-26 15:00,9,25,1,121.536763,25.298562,84
麥寮,雲林縣,22,,良好,0.8,0.11,0.2,18,24,11,4,1.7,3.1,1.4,5.1,214,2020-05-26 15:00,7,19,2,120.251825,23.753506,83
關山,臺東縣,24,,良好,0.8,-,,24,26,11,4,2.3,3.2,0.9,0.8,210,2020-05-26 15:00,5,11,1,121.161933,23.045083,80
馬公,澎湖縣,24,,良好,1.9,,,18,26,17,,5.2,9.1,4,2.3,178,2020-05-26 15:00,4,18,2,119.566158,23.569031,78
金門,金門縣,34,,良好,2.3,0.12,0.1,37,35,15,8,4.9,6.3,1.3,5.2,185,2020-05-26 15:00,10,18,2,118.312256,24.432133,77
馬祖,連江縣,57,細懸浮微粒,普通,2.1,0.16,0.2,45,41,27,19,10,13,2.5,4,223,2020-05-26 15:00,18,31,2,119.949875,26.160469,75
埔里,南投縣,36,,良好,2.2,0.24,0.3,,24,8,,8.8,11,1.8,1.6,47,2020-05-26 15:00,11,19,2,120.967903,23.968842,72
復興,高雄市,24,,良好,1.9,0.14,0.5,23,20,13,4,5.2,11,5.5,1.6,255,2020-05-26 15:00,8,15,3,120.312017,22.608711,71
永和,新北市,37,,良好,,,1.3,,38,17,10,,,,2.3,282,2020-05-26 15:00,12,23,2,121.516306,25.017,70
竹山,南投縣,27,,良好,2.1,0.11,0.2,22,29,13,9,2.3,4.4,2.1,1.8,222,2020-05-26 15:00,8,18,3,120.677306,23.756389,69
中壢,桃園市,38,,良好,2.5,0.79,1.1,16,23,13,10,18,47,29,2.1,186,2020-05-26 15:00,12,23,3,121.221667,24.953278,68
三重,新北市,54,細懸浮微粒,普通,3.9,1.37,1.5,-,,25,14,31,103,72,,,2020-05-26 15:00,17,32,3,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,,,0.3,,34,,,,,,1.4,281,2020-05-26 15:00,7,18,2,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,,,0.3,,34,10,4,,,,0.5,127,2020-05-26 15:00,5,13,2,121.746394,24.747917,65
陽明,臺北市,46,,良好,1.3,0.14,0.2,29,39,10,8,3.2,4,0.8,,,2020-05-26 15:00,14,18,2,121.529583,25.182722,64
花蓮,花蓮縣,31,,良好,0.9,0.2,0.2,32,33,10,5,5.9,6.7,0.8,1.2,342,2020-05-26 15:00,3,9,1,121.599769,23.971306,63
臺東,臺東縣,30,,良好,1.2,0.32,0.4,34,32,20,5,4.9,7,2.1,1,38,2020-05-26 15:00,3,15,1,121.15045,22.755358,62
恆春,屏東縣,25,,良好,0.4,-0.02,0.0,22,27,10,5,0.3,1.9,1.6,4.1,266,2020-05-26 15:00,5,11,1,120.788928,21.958069,61
潮州,屏東縣,26,,良好,1.3,0.11,0.2,27,28,11,3,3.7,4.9,1.2,3.2,270,2020-05-26 15:00,4,16,2,120.561175,22.523108,60
屏東,屏東縣,28,,良好,0.9,0.15,0.4,27,29,18,5,6.2,8,1.8,2.4,267,2020-05-26 15:00,9,20,2,120.488033,22.673081,59
小港,高雄市,21,,良好,2.7,0.13,0.2,21,20,20,4,4.6,10,5.6,1.4,222,2020-05-26 15:00,7,21,3,120.337736,22.565833,58
前鎮,高雄市,18,,良好,1.1,0.14,0.4,21,19,14,3,5.7,7.9,2.3,2.2,12,2020-05-26 15:00,5,18,2,120.307564,22.605386,57
前金,高雄市,23,,良好,,,0.3,23,25,17,,,,,2.4,233,2020-05-26 15:00,7,15,2,120.288086,22.632567,56
左營,高雄市,22,,良好,1.8,0.12,0.3,21,24,18,ND,3.2,5.6,2.4,3.4,227,2020-05-26 15:00,4,16,2,120.292917,22.674861,54
楠梓,高雄市,22,,良好,0.9,0.14,0.3,23,23,19,3,3.5,5.3,1.9,2.5,177,2020-05-26 15:00,7,20,1,120.328289,22.733667,53
林園,高雄市,27,,良好,1.1,0.06,0.1,25,29,21,5,0.4,0.5,0.1,2.2,248,2020-05-26 15:00,7,22,2,120.41175,22.4795,52
大寮,高雄市,28,,良好,6.4,0.4,0.3,16,22,28,7,9.6,15,5.7,2,271,2020-05-26 15:00,9,23,2,120.425081,22.565747,51
鳳山,高雄市,21,,良好,1.8,0.24,0.4,20,23,10,ND,6.5,10,3.6,2.7,255,2020-05-26 15:00,5,15,2,120.358083,22.627392,50
仁武,高雄市,23,,良好,2,0.13,0.3,21,24,11,2,5.4,8.3,2.9,2.4,214,2020-05-26 15:00,7,16,2,120.332631,22.689056,49
橋頭,高雄市,25,,良好,1.2,0.07,0.2,26,27,13,ND,1.9,3,1,3.9,27,2020-05-26 15:00,4,16,1,120.305689,22.757506,48
美濃,高雄市,29,,良好,0.7,0.16,0.3,31,29,14,7,3.5,3.8,0.3,1.8,245,2020-05-26 15:00,9,18,2,120.530542,22.883583,47
臺南,臺南市,24,,良好,1.3,0.11,0.2,21,26,12,6,1.3,2.8,1.5,2.8,216,2020-05-26 15:00,7,17,2,120.202617,22.984581,46
安南,臺南市,24,,良好,0.6,0.08,0.2,21,26,11,2,3.8,6.2,2.4,3.7,240,2020-05-26 15:00,7,16,2,120.2175,23.048197,45
善化,臺南市,25,,良好,1,0.1,0.2,22,27,9,4,3.9,6.3,2.4,4.6,224,2020-05-26 15:00,6,13,1,120.297142,23.115097,44
新營,臺南市,31,,良好,0.8,0.15,0.3,21,25,11,7,,,,2.3,36,2020-05-26 15:00,9,16,2,120.31725,23.305633,43
嘉義,嘉義市,24,,良好,1.5,0.13,0.2,21,26,11,ND,4.6,5.7,1.1,3.8,229,2020-05-26 15:00,6,16,2,120.440833,23.462778,42
臺西,雲林縣,26,,良好,1.6,0.06,0.1,20,28,9,4,1.9,4.1,2.3,5.9,225,2020-05-26 15:00,7,15,2,120.202842,23.717533,41
朴子,嘉義縣,25,,良好,1.3,0.17,0.2,21,26,11,4,0.4,4,3.6,2.3,42,2020-05-26 15:00,8,19,2,120.24781,23.467123,40
新港,嘉義縣,28,,良好,,0.09,0.2,,30,15,,0.7,2.3,1.5,,,2020-05-26 15:00,7,18,1,120.345531,23.554839,39
崙背,雲林縣,25,,良好,2.1,0.09,0.2,18,27,15,5,3,5.8,2.8,3.3,209,2020-05-26 15:00,6,17,1,120.348742,23.757547,38
斗六,雲林縣,29,,良好,2.1,0.18,0.3,28,31,14,5,4.9,6.5,1.6,2.3,214,2020-05-26 15:00,7,15,3,120.544994,23.711853,37
南投,南投縣,28,,良好,1.5,0.26,0.3,25,30,8,4,8.9,12,3.2,1.4,256,2020-05-26 15:00,6,16,2,120.685306,23.913,36
二林,彰化縣,24,,良好,3.2,0.09,0.2,16,23,11,3,1.7,2.7,1,4.8,237,2020-05-26 15:00,8,19,3,120.409653,23.925175,35
線西,彰化縣,35,,良好,2.3,0.14,0.2,11,12,20,9,5.1,6.9,1.8,3.3,170,2020-05-26 15:00,11,20,2,120.469061,24.131672,34
彰化,彰化縣,19,,良好,2.3,0.23,0.2,17,20,14,6,5.2,7.5,2.3,1.6,180,2020-05-26 15:00,5,18,3,120.541519,24.066,33
西屯,臺中市,30,,良好,1.1,0.22,0.3,,31,10,,18,20,2.5,0.5,100,2020-05-26 15:00,9,19,3,120.616917,24.162197,32
忠明,臺中市,24,,良好,1.4,0.25,0.3,20,26,6,6,11,14,3.2,2.1,114,2020-05-26 15:00,7,13,3,120.641092,24.151958,31
大里,臺中市,27,,良好,3.1,0.29,0.3,19,24,7,6,11,14,2.4,1.4,72,2020-05-26 15:00,8,16,3,120.677689,24.099611,30
沙鹿,臺中市,27,,良好,1.1,0.15,0.2,22,29,11,3,8.3,11,2.2,3,161,2020-05-26 15:00,7,15,2,120.568794,24.225628,29
豐原,臺中市,31,,良好,0.8,0.13,0.2,27,34,6,ND,4.1,6.8,2.8,3.2,163,2020-05-26 15:00,7,18,1,120.741711,24.256586,28
三義,苗栗縣,31,,良好,1.5,0.06,0.2,,29,6,,2.2,2.6,0.4,5,182,2020-05-26 15:00,10,18,2,120.758833,24.382942,27
苗栗,苗栗縣,29,,良好,1.3,0.18,0.3,18,24,11,4,4,6.6,2.6,4.1,194,2020-05-26 15:00,9,17,2,120.8202,24.565269,26
